Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Dense2 active,Dense2 num nodes,Dense2 batch normalization,Dense2 activation,Dense2 dropout,Dense3 active,Dense3 num nodes,Dense3 batch normalization,Dense3 activation,Dense3 dropout,Optimizer,Val Loss,Val Accuracy
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,0,256,1,1,2,0,0.05689967796206474,0.9805999994277954
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,6,1,256,0,0,9,1,256,1,0,6,0,512,0,1,2,0,0.05341266468167305,0.9865999817848206
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,0,256,1,1,1,0,0.07726515084505081,0.9790999889373779
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.07589095830917358,0.9793000221252441
1,64,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,64,1,1,4,1,32,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.05451278015971184,0.983299970626831
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,9,3,2.288673162460327,0.11389999836683273
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,128,1,1,2,0,0,32,1,1,6,1,256,0,0,9,1,256,1,0,6,0,512,0,1,2,0,0.07185814529657364,0.9757000207901001
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,16,0,1,1,1,0,256,1,0,0,0,256,1,0,0,1,256,1,0,1,0,512,0,1,2,0,0.045036543160676956,0.9854000210762024
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.06776788085699081,0.9812999963760376
1,64,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,0,10,0,0,16,0,0,1,1,512,1,0,7,0,1024,0,0,4,0,256,1,1,2,0,0.027788199484348297,0.991100013256073
1,64,1,0,4,2,1,64,0,1,9,2,0,32,1,1,3,1,0,64,1,1,0,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,0,0,1,256,1,0,1,0,512,0,1,2,0,0.031676504760980606,0.989799976348877
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,6,1,256,1,0,0,1,256,1,0,1,0,512,0,1,2,0,0.04163232445716858,0.9873999953269958
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,1,9,1,512,1,1,1,0,0.10638607293367386,0.9794999957084656
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,0,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.08057890087366104,0.9799000024795532
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,1,512,1,1,1,0,0.03501727804541588,0.9891999959945679
1,32,1,0,4,2,1,32,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.08356749266386032,0.9768999814987183
1,64,1,0,4,2,1,64,0,1,9,2,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,0,10,0,0,16,0,0,1,1,512,1,0,7,0,1024,0,0,4,0,256,1,1,2,0,0.03189246729016304,0.989300012588501
1,64,1,0,4,2,1,64,0,1,9,0,0,32,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,1,512,1,1,1,0,0.10026342421770096,0.9659000039100647
1,64,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,0,10,0,0,16,0,0,1,1,512,1,0,7,0,1024,0,0,4,0,256,1,1,2,0,0.051674336194992065,0.9829000234603882
1,64,1,0,4,2,1,64,0,1,9,2,0,32,1,1,3,1,0,64,1,1,0,0,0,16,0,1,1,1,0,256,1,0,0,1,16,0,0,9,1,128,1,1,9,1,512,1,1,1,0,0.27772393822669983,0.9162999987602234
1,64,1,0,4,2,1,64,0,1,2,2,0,32,1,1,3,1,0,64,1,1,0,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,0,0,1,256,1,0,1,0,512,0,1,2,0,0.03553963080048561,0.9883999824523926
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,1,512,1,1,1,0,0.058495067059993744,0.9814000129699707
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,1,512,1,1,1,0,0.04830160364508629,0.9850999712944031
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,1,512,1,1,1,0,0.034405652433633804,0.9891999959945679
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,1,512,1,1,1,0,0.05860874801874161,0.9800000190734863
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,128,1,1,2,2,0,32,1,1,6,1,256,0,0,9,1,256,1,0,6,0,512,0,1,2,0,0.03633241727948189,0.9879000186920166
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,16,0,0,1,1,512,1,0,7,0,1024,0,0,4,0,256,1,1,2,0,0.03910418972373009,0.9873999953269958
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,1,512,1,1,1,0,0.048551421612501144,0.9843000173568726
