Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Dense2 active,Dense2 num nodes,Dense2 batch normalization,Dense2 activation,Dense2 dropout,Dense3 active,Dense3 num nodes,Dense3 batch normalization,Dense3 activation,Dense3 dropout,Optimizer,Val Loss,Val Accuracy
1,32,0,0,4,2,0,32,1,1,4,1,1,32,0,1,0,1,0,8,1,1,6,0,1,256,1,0,3,2,1,32,1,0,5,0,128,1,0,4,0,256,0,0,5,0,64,1,0,7,1,0.07227443904,0.9808999896
1,256,1,1,1,2,1,16,0,0,0,1,1,32,1,0,10,0,0,32,0,1,4,2,1,256,1,1,5,0,1,256,1,0,1,0,128,1,1,0,0,64,1,1,6,1,16,1,1,8,0,0.02951072715,0.9908999801
1,64,1,0,0,0,1,32,0,1,8,0,0,8,0,0,9,0,1,64,1,0,0,2,0,256,1,1,2,2,1,1024,0,0,1,1,32,1,1,5,0,256,0,0,5,1,512,1,0,9,0,0.03398160264,0.989199996
1,256,1,1,1,2,0,32,1,0,0,1,1,16,1,1,1,1,1,128,1,1,7,2,0,128,0,0,3,0,0,16,0,1,9,0,1024,0,1,3,0,1024,1,1,1,0,1024,0,0,6,3,0.5287708044,0.8740000129
1,8,0,0,0,2,1,16,1,1,4,1,1,32,0,0,6,2,1,8,1,1,10,0,0,64,1,0,5,0,1,32,1,0,9,0,1024,0,1,5,0,512,1,1,10,0,256,0,1,0,3,2.174602032,0.3472000062
1,32,0,1,2,2,1,64,1,0,7,0,1,256,0,0,0,0,0,256,0,1,10,1,0,64,1,1,1,2,1,1024,0,0,8,1,256,1,1,1,0,128,1,0,6,0,64,1,0,9,0,0.03014009632,0.9897999763
1,64,1,0,0,1,1,32,0,1,8,0,0,8,0,0,9,0,1,8,1,1,6,0,1,256,1,0,3,2,1,32,1,0,5,0,128,1,0,4,0,256,0,0,5,0,64,1,0,7,1,0.0991910845,0.9799000025
1,256,1,1,8,2,1,16,0,0,0,1,1,32,1,0,10,0,0,32,0,1,4,2,1,256,1,1,5,0,1,256,1,0,1,0,128,1,1,0,0,64,1,1,6,1,16,1,1,8,0,0.03548181057,0.9896000028
1,32,1,0,6,0,1,16,0,1,3,2,0,16,0,0,1,2,1,64,1,0,3,2,1,16,1,0,8,0,0,16,0,0,5,0,512,0,0,5,0,64,1,0,10,1,512,0,1,8,3,0.3165584803,0.9154999852
1,256,1,1,1,2,1,16,0,0,0,0,0,128,1,1,5,2,1,32,0,0,1,0,0,16,1,1,1,2,0,16,0,1,6,1,32,1,1,0,0,1024,0,0,9,0,64,1,1,9,2,0.6455288529,0.9732999802
1,256,1,1,1,2,0,32,1,0,0,1,1,16,1,1,1,1,1,128,1,1,7,2,0,128,0,0,3,0,0,16,0,1,9,0,1024,0,1,3,0,1024,1,1,1,0,1024,0,0,6,3,0.5207244754,0.8798000216
1,64,1,0,0,0,1,32,0,1,8,0,1,256,0,0,0,0,0,256,0,1,10,1,0,64,1,1,1,2,1,1024,0,1,8,1,256,1,1,1,0,128,1,0,6,0,64,1,0,9,0,0.04309997708,0.986899972
1,256,1,1,1,2,1,16,0,0,0,1,1,32,1,0,10,0,0,32,0,1,4,2,1,256,1,1,5,0,1,256,1,0,1,0,128,1,1,0,0,64,0,0,5,1,512,1,0,9,0,0.04008575901,0.9871000051
1,64,1,0,0,0,1,32,0,1,8,0,0,8,0,0,9,0,1,64,1,0,0,2,0,256,1,1,2,2,1,1024,1,0,1,1,32,1,1,5,0,256,0,0,5,1,512,1,0,9,0,0.02624749765,0.9919999838
1,32,0,0,4,2,0,32,1,1,4,1,1,32,0,1,0,1,0,8,1,1,6,0,1,256,1,0,3,2,1,32,1,0,5,0,128,0,0,5,0,64,1,0,10,1,16,0,1,2,0,0.1219534576,0.9641000032
1,16,0,0,8,2,0,32,0,0,2,0,0,128,1,1,5,2,1,32,0,0,1,0,0,16,1,1,1,2,0,16,0,1,6,1,32,1,1,0,0,1024,0,0,9,0,64,1,1,9,2,0.765630722,0.9545999765
1,64,1,0,0,0,1,32,0,1,8,0,1,256,0,0,0,0,0,256,0,1,10,1,0,16,1,1,1,2,0,16,0,1,6,1,32,1,1,0,0,1024,0,0,9,0,64,1,1,9,2,0.6675750613,0.9721999764
1,16,0,0,8,2,0,32,0,0,2,0,0,128,1,1,5,2,1,32,0,0,1,0,0,16,1,1,1,2,0,16,0,1,6,1,32,1,1,0,0,1024,0,0,9,0,64,1,1,9,2,0.7777820826,0.956099987
1,256,1,1,1,2,1,16,0,0,0,1,1,32,1,0,10,0,0,32,1,1,6,0,1,256,1,0,3,2,1,32,1,0,5,0,128,1,0,4,0,256,0,0,5,0,64,1,0,7,1,0.4280917048,0.9199000001
1,32,0,0,4,2,0,32,0,1,8,0,0,8,0,0,9,0,1,64,1,0,0,2,0,256,1,1,2,2,1,1024,1,0,1,1,32,1,1,5,0,256,0,0,5,1,512,1,0,9,0,0.03560897335,0.9896000028
1,256,1,1,8,2,1,16,0,0,0,1,1,32,1,0,10,0,0,32,0,1,4,2,1,256,1,1,5,0,1,256,1,0,1,0,128,1,1,0,0,64,1,1,6,1,16,1,1,9,0,0.03249069676,0.9904999733
1,256,1,1,8,2,1,16,0,0,0,1,1,32,1,0,10,0,0,32,0,1,4,2,1,256,1,1,5,0,1,256,1,0,1,0,32,1,1,0,0,1024,0,0,9,0,64,1,1,9,2,0.06351209432,0.9811999798
1,256,1,1,1,2,1,16,0,0,0,0,0,128,1,1,5,2,1,32,0,0,1,0,0,16,1,1,1,2,0,16,0,1,6,1,32,1,1,0,0,64,1,1,6,1,16,1,1,8,0,0.040014036,0.9879999757
1,256,1,1,1,2,1,16,0,0,0,1,1,32,1,0,10,0,0,32,0,1,4,2,1,256,1,1,5,0,1,256,1,0,4,0,128,1,1,4,0,256,0,0,5,0,64,1,0,7,1,0.04250006005,0.9864000082
1,64,1,0,0,0,1,64,0,1,8,0,1,256,0,0,0,0,0,256,0,1,10,1,0,64,1,1,1,2,1,1024,0,1,8,1,256,1,1,1,0,128,1,0,6,0,64,1,1,8,0,2.314527273,0.1010000035
1,64,1,0,0,1,1,32,0,1,8,0,0,8,0,0,9,0,1,8,1,1,6,0,1,256,1,0,3,2,1,32,1,0,5,0,128,1,0,4,0,256,0,0,5,0,64,1,0,7,1,0.2736648917,0.9710999727
1,32,0,1,4,2,0,32,0,1,8,0,0,8,0,0,9,0,1,64,1,0,0,2,0,256,1,1,2,2,1,1024,1,0,1,1,32,1,1,5,0,256,0,0,5,1,512,1,0,9,0,0.04433487356,0.986199975
1,64,1,0,0,0,1,32,0,1,8,0,1,256,0,0,0,0,0,256,0,1,10,1,0,16,1,1,1,2,0,16,0,1,6,1,32,1,1,0,0,1024,0,0,9,0,64,1,0,9,0,0.04026356339,0.9886000156
1,256,1,1,1,2,1,16,0,0,8,0,0,8,0,0,9,0,1,8,1,1,6,0,1,256,1,0,3,2,1,32,1,0,5,0,128,1,0,4,0,256,0,0,5,0,64,1,0,7,1,0.5110416412,0.9401999712
1,64,1,0,0,1,1,32,0,1,8,0,0,8,0,0,9,0,1,8,1,1,6,0,1,256,1,0,3,2,1,32,1,0,5,0,128,1,0,4,0,256,0,0,5,0,64,1,0,9,0,0.02958012,0.9912999868
1,32,0,0,4,2,0,32,0,1,8,0,0,8,0,0,9,0,1,32,0,0,1,0,0,16,1,1,1,2,0,16,0,1,6,1,32,1,1,0,0,64,1,1,6,1,16,1,1,8,0,0.04573518038,0.986899972
1,256,1,1,1,2,1,16,0,0,0,0,0,128,1,1,5,2,1,32,0,0,1,0,0,16,1,1,1,2,0,16,0,1,6,1,32,1,1,0,0,64,1,1,6,1,16,1,0,9,0,0.051213447,0.9840999842
1,64,1,0,0,0,1,32,0,1,8,0,1,256,0,1,0,0,0,256,0,1,10,1,0,16,1,1,1,2,0,16,0,1,6,1,64,1,1,0,0,1024,0,0,9,0,64,1,1,9,2,0.3539762795,0.9745000005
