Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Dense2 active,Dense2 num nodes,Dense2 batch normalization,Dense2 activation,Dense2 dropout,Dense3 active,Dense3 num nodes,Dense3 batch normalization,Dense3 activation,Dense3 dropout,Optimizer,Val Loss,Val Accuracy
1,16,0,1,1,1,1,16,0,0,1,0,0,8,0,1,5,0,1,16,1,0,1,0,1,16,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,0,1,9,1,0.06955627351999283,0.9829999804496765
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.07920707762241364,0.9828000068664551
1,8,1,0,6,1,1,16,0,0,10,0,0,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.05727452412247658,0.9842000007629395
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.06916937977075577,0.9814000129699707
1,16,0,1,1,1,1,128,1,1,0,1,1,8,1,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,0,1,0,1,4.412632942199707,0.17399999499320984
1,8,1,0,6,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,1,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,2,0.7112085819244385,0.8919000029563904
1,16,0,1,1,1,1,8,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,1,8,1,64,1,0,5,1,0.20368321239948273,0.9447000026702881
1,16,0,1,1,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,1,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,2,2.2961692810058594,0.14190000295639038
1,8,1,0,6,1,1,16,0,0,10,0,0,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.047818757593631744,0.9869999885559082
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.2100667506456375,0.9445000290870667
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,2,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.05496035888791084,0.9861000180244446
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.06931629776954651,0.9860000014305115
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,0,1,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.06942593306303024,0.9818999767303467
1,16,0,1,1,1,1,256,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,0,1,9,1,0.07484927028417587,0.9805999994277954
1,16,0,1,1,1,1,8,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,1,4,1,64,1,0,5,1,0.06908180564641953,0.9790999889373779
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.05156394839286804,0.9842000007629395
1,16,0,1,1,1,1,256,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.05753164738416672,0.9815000295639038
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,2,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,1,0,4,1,64,1,0,5,1,0.06809958070516586,0.9807000160217285
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,0,1,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.27856412529945374,0.9308000206947327
1,8,1,1,6,1,1,16,0,0,10,0,0,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,5,1,0.05799008905887604,0.9829999804496765
1,16,0,1,1,1,0,256,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,0,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,2.3019163608551025,0.11349999904632568
1,8,1,0,10,1,1,16,0,0,10,0,0,8,0,1,5,0,1,16,1,0,1,0,1,256,0,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.08136124908924103,0.9786999821662903
1,16,0,1,1,1,1,256,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.06808972358703613,0.9830999970436096
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.07268213480710983,0.98089998960495
1,16,0,1,1,1,0,16,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,0,1,9,1,0.09298212826251984,0.9725000262260437
1,16,0,1,1,2,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.1094285398721695,0.9646999835968018
1,16,0,1,1,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,8,1,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,2,2.305044651031494,0.0982000008225441
